strain_code	canonical_strain_id	isolate_name	standardized_name	isolation	ecological_origin	geographical_origin	ploidy	aneuploidy	zygosity	clade	evidence_tier	identity_status	is_proxy	source_table_url	distance_matrix_url	source_table_sha256	distance_matrix_sha256	notes
BAH	peter2018:BAH	SX3	BAH	Bark from Carya sp.	Tree	Qinling Mountain, Shaanxi province, China	2.0	euploid	homozygous	15. CHNII	HIGH_CONFIDENCE_CANDIDATE	candidate	False	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-018-0030-5/MediaObjects/41586_2018_30_MOESM3_ESM.xls	http://1002genomes.u-strasbg.fr/files/1011DistanceMatrixBasedOnSNPs.tab.gz	b11de13b50bcf91bb2a40cdbd0f2f35372bdef6fc9a018d7538cf5e5eea7f273	140da4e5193584c01e60c554a2ba5075a542d925be540afe7c7a92b7377af928	GOAI code string exactly matches the Peter et al. standardized isolate code; organizer identity not asserted
BAI	peter2018:BAI	BJ6	BAI	Persimmon	Fruit	Changping, Beijing, China	2.0	euploid	homozygous	18. Far East Asia	HIGH_CONFIDENCE_CANDIDATE	candidate	False	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-018-0030-5/MediaObjects/41586_2018_30_MOESM3_ESM.xls	http://1002genomes.u-strasbg.fr/files/1011DistanceMatrixBasedOnSNPs.tab.gz	b11de13b50bcf91bb2a40cdbd0f2f35372bdef6fc9a018d7538cf5e5eea7f273	140da4e5193584c01e60c554a2ba5075a542d925be540afe7c7a92b7377af928	GOAI code string exactly matches the Peter et al. standardized isolate code; organizer identity not asserted
CEK	peter2018:CEK	JCM_2985-4B	CEK	Fermented fish	Fermentation	Tailand	2.0	euploid	homozygous	26. Asian fermentation	HIGH_CONFIDENCE_CANDIDATE	candidate	False	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-018-0030-5/MediaObjects/41586_2018_30_MOESM3_ESM.xls	http://1002genomes.u-strasbg.fr/files/1011DistanceMatrixBasedOnSNPs.tab.gz	b11de13b50bcf91bb2a40cdbd0f2f35372bdef6fc9a018d7538cf5e5eea7f273	140da4e5193584c01e60c554a2ba5075a542d925be540afe7c7a92b7377af928	GOAI code string exactly matches the Peter et al. standardized isolate code; organizer identity not asserted
CGD	peter2018:CGD	UCD_09-448	CGD	Olives from Middle of season 1. on RBCA 11.25.09 Streaked onto PDA 11/30/09	Fruit	Davis, CA, UCD	2.0	euploid	homozygous	2. Alpechin	HIGH_CONFIDENCE_CANDIDATE	candidate	False	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-018-0030-5/MediaObjects/41586_2018_30_MOESM3_ESM.xls	http://1002genomes.u-strasbg.fr/files/1011DistanceMatrixBasedOnSNPs.tab.gz	b11de13b50bcf91bb2a40cdbd0f2f35372bdef6fc9a018d7538cf5e5eea7f273	140da4e5193584c01e60c554a2ba5075a542d925be540afe7c7a92b7377af928	GOAI code string exactly matches the Peter et al. standardized isolate code; organizer identity not asserted
CRD	peter2018:CRD	FIMA_3	CRD	Wine	Wine	Italy	2.0	euploid	homozygous	1. Wine/European	HIGH_CONFIDENCE_CANDIDATE	candidate	False	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-018-0030-5/MediaObjects/41586_2018_30_MOESM3_ESM.xls	http://1002genomes.u-strasbg.fr/files/1011DistanceMatrixBasedOnSNPs.tab.gz	b11de13b50bcf91bb2a40cdbd0f2f35372bdef6fc9a018d7538cf5e5eea7f273	140da4e5193584c01e60c554a2ba5075a542d925be540afe7c7a92b7377af928	GOAI code string exactly matches the Peter et al. standardized isolate code; organizer identity not asserted
DHY210	goai:DHY210										UNRESOLVED	missing	False	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-018-0030-5/MediaObjects/41586_2018_30_MOESM3_ESM.xls	http://1002genomes.u-strasbg.fr/files/1011DistanceMatrixBasedOnSNPs.tab.gz	b11de13b50bcf91bb2a40cdbd0f2f35372bdef6fc9a018d7538cf5e5eea7f273	140da4e5193584c01e60c554a2ba5075a542d925be540afe7c7a92b7377af928	No Peter 2018 standardized-code match; S288C substitution is forbidden
